Latitude-longitude information,Name 
-22.91403189999999 -43.175137,Marshal Deodoro da Fonseca Monument
-22.9133845 -43.18132809999999,Pub Kriok
-22.9134117 -43.18114569999999,La Esquina
-22.9131527 -43.182378,Up House Night Club
-22.9129701 -43.18344679999999,Karaokê Show Bar
-22.9178701 -43.1825209,Parque das Ruínas
-22.9199021 -43.1759257,Praça Nossa Senhora da Glória
-22.919425 -43.17646329999999,Parque De Onoro Gurgel RJ
-22.9213087 -43.1736569,Estatua de Baden-Powell
-22.9368247 -43.178054,Piazza Sandro Moreira
-22.9134701 -43.17683510000001,Praça PASSEIO PUBLICO
-22.9203994 -43.17826090000001,Espar Estacionamentos
-22.9297496 -43.1748786,Estapar estacionamentos
-22.9327289 -43.177235,Estacionamento Victoria Park
-22.9323072 -43.1748229,Estacionamento GePark
-22.9148492 -43.1771302,Estapar Estacionamentos
-22.9140687 -43.1829273,Estacionamento Riachuelo
-22.9131519 -43.1840426,Estapar Estacionamentos
-22.9280057 -43.17547769999999,Mundo da Bicharada
-22.9269444 -43.1786111,Pet Store
-22.92290239999999 -43.177332,Pet Shop Pet Repeat
-22.9220323 -43.1749074,Mee and Au Pet Shop
-22.932775 -43.18438400000001,Pet Studio
-22.9328426 -43.1803993,Pet Food
-22.9351645 -43.1813899,Vet Ypiranga Hospital & Pet Shop - Unidade Laranjeiras
-22.929202 -43.175137,Pet Dog Cat
-22.9324195 -43.18065349999999,Bioderme Farmácia de Manipulação
-22.9297547 -43.1759017,Solla Posturologia
-22.931268 -43.178435,Espaço Bem-Estar de Fisioterapia e Dermatofuncional
-22.93149009999999 -43.1787724,Consultório Paola Rezende
-22.9313419 -43.178709,Balance
-22.931348 -43.178731,Dra. Renata da Cunha Novaes
-22.9307748 -43.17717999999999,Matheus Costantini - Fisioterapia e Método Feldenkrais
-22.931305 -43.17847439999999,|Dra. Angelica Barbieri, Fisioterapeuta|
-22.9320585 -43.1769763,Juliana Rizzo
-22.92830259999999 -43.1840442,Police Special Operations Battalion
-22.9222585 -43.1766381,Public Order Unit
-22.9307478 -43.1845579,Polícia Militar
-22.9280358 -43.17411740000001,Policia Metroplitana Do Rio De Janeiro
-22.9143007 -43.1772504,PMERJ - 5º BPM Cabina 5/8
-22.9374434 -43.1790654,Polícia Militar
-22.912449 -43.1817292,DECRADI - Delegacia de Crimes Raciais e Delitos de Intolerância
-22.9140891 -43.18839250000001,Agência de Correios Fátima
-22.9177542 -43.1772898,Municipal school Deodoro
-22.9201706 -43.189359,Instituto Nossa Senhora do Monte Calvário
-22.9152741 -43.17818460000001,CAP ACM Rio - Lapa
-22.9339076 -43.1758112,Imóveis Kasanova
-22.9350806 -43.1744539,So Imóveis
-22.9269454 -43.1736051,Sociedade Brasileira de Administração em Oftalmologia
-22.9284816 -43.1772227,AP Castilho Imóveis
-22.9275243 -43.1775563,B & G Empreendimentos Imobiliários
-22.9298485 -43.1768835,Canaã Imobiliária
-22.9313637 -43.1788823,Telma Gloria & Elder Neves
-22.928745 -43.1741977,Nova Aliança Imóveis
-22.93194 -43.1769858,JF ADMINISTRAÇÃO IMOBILIÁRIA
-22.915831 -43.177972,MM Assessoria Imobiliaria
-22.9326583 -43.1826546,Vegetariano Social Clube
-22.9217832 -43.18786,Térèze
-22.9135584 -43.1814273,Subway
-22.9307748 -43.17717999999999,Parmê
-22.9292428 -43.1795069,Mestre Kami
-22.926861 -43.1737633,COOESO - Cooperativa Estadual de Serviços Administrativos em Oftalmologia - RJ
-22.9254985 -43.1761482,Municipal school Vital Brazil
-22.9280956 -43.176752,Carioca Languages
-22.9207014 -43.1811301,Escola de Capoeira Angola Renascer
-22.9308517 -43.1801213,Escola Dinâmica do Ensino Moderno
-22.9308517 -43.1801213,Escola EDEM
-22.9314888 -43.18199259999999,Aurya Pires
-22.9167673 -43.18672369999999,Colégio Costa Ferreira
-22.9314773 -43.18137,Novo Pé
-22.9321988 -43.18140309999999,O Expresso
-22.92834209999999 -43.17736780000001,Havaianas
-22.9320167 -43.1803539,Via Mia
-22.9337534 -43.17751430000001,SamPés Calçados
-22.9279549 -43.1771371,Rustin's
-22.9221936 -43.17740269999999,SamPés Calçados
-22.9292793 -43.1771993,Sonho dos Pés
-22.9296912 -43.1769195,Pés Sem Dor
-22.9128225 -43.1775533,BVEP Nigri Plaza
-22.9321498 -43.1803809,Alternativa Carioca Laranjeiras
-22.9318764 -43.1778799,Minha Praiaa (Pratas e Acessórios)
-22.9184227 -43.1814105,Casa do Índio
-22.9168443 -43.1764412,Mercado de Pulgas - Praça Paris - Feira Livre da Glória
-22.9139512 -43.1819451,Recruta Zero
-22.931528 -43.177901,Espaço de Terapias Aromas & Sinergias
-22.9359365 -43.180661,Light Sunflower Holistic Spa
-22.927708 -43.1765892,Centro de Lazer
-22.9279128 -43.175131,Termas Catete
-22.9296998 -43.17584979999999,Estética Chris Campelo
-22.930808 -43.177171,Mison Estética
-22.9215836 -43.17477,Espaço Mercurio
-22.9211329 -43.1747309,Evelin Soares Estética
-22.931989 -43.1772763,Narayan Massoterapias
-22.9368681 -43.18441809999999,Estádio Manoel Schwartz
-22.9146938 -43.1855559,Disk agua e gelo
-22.9138972 -43.1868769,Água rj
-22.9130959 -43.18623660000001,Transportadora Fátima
-22.93162139999999 -43.17935779999999,Multicoisas
-22.934593 -43.1753358,Zona Sul
-22.9278934 -43.1770564,Mundo Verde Catete
-22.914417 -43.177072,Óticas do Povo
-22.9358892 -43.17505679999999,Original Tattoo Studio
-22.925788 -43.1765834,Catete
-22.9310085 -43.1781665,Largo do Machado
-22.9371443 -43.1783578,Flamengo
-22.9259954 -43.17676100000001,Rede Ultra Mercado
-22.9291982 -43.1768162,Big Market
-22.9336449 -43.1804871,|Supermercado Zona Sul - Laranjeiras, Rua Esteves Júnior|
-22.9193571 -43.1773945,Rede Ultra Mercado
-22.9335971 -43.1862485,Princesa Supermercados - Laranjeiras
-22.9246987 -43.1768162,2 - Mercadinho
-22.9289035 -43.1771077,Metrópole Mercado
-22.931569 -43.181531,Sinagoga Beit - Aron
-22.922361 -43.1799419,Sto. Amaro Táxi
-22.924522 -43.189892,Santa Cooperativa de Trabalho Santa Teresa Castelinho Táxi
-22.9285226 -43.1792648,Rio Quartier Táxi
-22.930667 -43.1880813,Táxi Pereira da Silva
-22.9344406 -43.18041059999999,Táxi São Salvador
-22.9360152 -43.1809403,TÁXI IPIRANGA
-22.9124164 -43.1806335,Fundição Progresso
-22.920932 -43.17711509999999,Palácio São Joaquim
-22.9216395 -43.1746965,Plano Inclinado do Outeiro da Glória
-22.9315404 -43.1832331,Palácio Laranjeiras
-22.9188185 -43.1828897,Mirante do Curvelo
-22.9223469 -43.1721842,Palmeiras talipot em flor
-22.9166241 -43.1734423,Monumento Nacional aos Mortos da Segunda Guerra Mundial
-22.9310227 -43.1787876,Largo Do Machado próximo ao 1
-22.9245539 -43.17911530000001,Rua Pedro Américo próximo ao 204
-22.9274832 -43.1793535,Rua Bento Lisboa próximo ao 80
-22.9234314 -43.1770114,Rua Antônio Mendes Campos próximo ao 75-90
-22.9266481 -43.1765352,Rua do Catete próximo ao 170-172
-22.9211098 -43.1764638,Rua do Rússel próximo ao 190
-22.9310785 -43.1795274,Rua Ministro Tavares de Lira próximo ao 17
-22.9209135 -43.18473349999999,Rua Almirante Alexandrino próximo ao 306
-22.93149009999999 -43.1787724,Casa Franca Turismo e Câmbio
-22.9253395 -43.1781013,I Love England Intercâmbio
-22.9283559 -43.1775415,CVC
-22.9315272 -43.1788068,DANTUR CÂMBIO E TURISMO
-22.9248298 -43.1874647,Rio Turismo Radical
-22.9174543 -43.1778947,Saveiros Tour Navegação
-22.9154225 -43.1781755,Unigranrio Campus Lapa
-22.926861 -43.173763,Simulation - Jogo de Negócios
-22.9276692 -43.1773598,Escola de Teatro ETLA
-22.9218029 -43.177294,CEFTEM - Centro de Estudos e Formação em Teatro Musical
-22.9157424 -43.1771882,Espaço Otelo
-22.9126097 -43.17872699999999,UERJ - Campus Lapa
-22.93121319999999 -43.17825399999999,Veterinária Flamengo
-22.9321534 -43.18191399999999,Clinica Veterinaria vet care
-22.92768959999999 -43.1793534,Bicho Bão
-22.928314 -43.176616,Veterinária Condor
-22.932865 -43.1832369,VET POP LARANJEIRAS
-22.9332067 -43.18472999999999,Homeopatia Dr. Fernando Diego P. Moreira
